date,Bx,By,Bz,Mx,My,Mz,dst
19980829 02:30,-47.83,16.66,30.14,-47.36,13.04,32.67,-54.50
19980829 03:30,-46.80,13.12,29.27,-45.40,7.46,32.33,-55.00
19980829 04:30,-50.59,9.38,27.93,-49.80,8.00,33.25,-61.50
19980829 05:30,-47.64,9.60,28.05,-49.55,7.29,33.53,-63.00
19980829 06:30,-51.37,7.77,28.33,-50.25,10.61,33.12,-56.50
19980829 15:30,-71.04,-10.71,36.19,-50.86,-3.32,31.97,-55.50
19980829 16:30,-72.07,-1.80,38.28,-51.73,7.20,34.68,-59.50
19980829 17:30,-51.60,3.86,38.71,-43.49,4.55,34.15,-60.00
19980829 18:30,-35.34,31.71,43.42,-20.96,21.80,34.81,-59.50
19980829 19:30,-32.78,22.34,42.64,-28.92,15.73,34.73,-59.00
19980829 20:30,-51.37,8.94,35.64,-50.85,7.82,34.78,-56.50
19980829 21:30,-46.36,4.73,32.93,-45.82,3.63,34.22,-51.00
19980830 01:30,-33.99,16.42,31.77,-32.10,12.59,30.92,-50.50
19980830 02:30,-35.82,15.78,30.16,-37.94,13.30,30.56,-50.50
19980830 04:30,-42.65,10.14,27.79,-41.30,11.42,29.48,-50.50
19980830 05:30,-33.79,12.84,26.90,-35.40,10.65,29.08,-55.00
19980830 06:30,-40.08,16.47,28.03,-40.10,16.86,28.62,-51.50
19980831 09:30,-42.85,-8.07,19.96,-44.22,-7.45,28.10,-51.00
19980831 10:30,-41.30,-6.94,25.51,-47.39,-3.24,29.55,-57.00
19980831 11:30,-42.39,0.51,31.47,-49.04,0.99,30.99,-60.00
19980831 12:30,-47.30,13.20,37.81,-51.27,8.93,30.34,-57.00
19980831 13:30,-55.02,14.11,38.70,-49.27,8.26,30.62,-54.50
19980831 14:30,-73.07,14.52,37.92,-62.07,14.19,32.80,-54.00
19980831 15:30,-65.11,8.74,36.22,-52.88,10.40,33.39,-56.00
19980831 16:30,-70.88,4.55,34.58,-59.02,13.19,35.60,-59.00
19980831 17:30,-54.89,9.60,28.48,-53.84,15.56,34.76,-56.00
19980831 18:30,-42.19,10.46,28.96,-38.55,9.96,32.30,-52.00
19980901 15:30,-62.03,-8.00,34.15,-54.55,-7.26,33.85,-51.50
19980901 16:30,-72.87,-11.90,35.47,-60.77,-2.62,37.14,-54.00
19980901 17:30,-68.90,-6.75,33.48,-60.67,3.90,36.46,-52.00
19980924 06:30,-16.15,0.55,13.19,-25.91,-3.03,17.67,-53.50
19980924 07:30,-25.57,-0.54,13.32,-32.36,2.18,18.32,-50.50
19980925 01:30,-19.93,12.18,14.68,-24.25,18.71,16.26,-52.50
19980925 16:30,-110.11,41.50,55.80,-88.45,48.28,55.70,-91.50
19980925 17:30,-81.33,16.83,43.20,-77.71,13.13,50.03,-78.50
19980925 18:30,-65.65,6.16,35.62,-65.15,5.89,45.55,-69.00
19980925 19:30,-56.83,3.11,33.55,-55.44,4.29,42.60,-66.00
